short_code,standard_code,stock_name,security_group_code,stock_base_price,regular_market_unit,after_hours_market_unit,trading_halt_yn,liquidation_yn,management_stock_yn,market_warning_code,market_warning_risk_yn,dishonest_disclosure_yn,bypass_listing_yn,lock_division_code,par_value_change_code,capital_increase_code,margin_rate,credit_order_yn,credit_period,prev_day_volume,stock_par_value,stock_listing_date,listed_shares_thousand,capital,settlement_month,public_offering_price,preferred_stock_code,short_sale_overheat_yn,unusual_rise_yn,krx300_stock_yn,sales,operating_profit,ordinary_profit,net_income,roe,base_year_month,prev_day_market_cap_billion,company_credit_limit_exceed_yn,collateral_loan_yn,securities_lending_yn
244880,KR7244880001,나눔테크,ST,000001998,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000001,000000000500,20160601,000000000005020,000000000002510000000,12,,0,,N,,000000161,000000028,000000035,00030,000000013,20241231,000000100,N,N,N
245450,KR7245450002,씨앤에스링크,ST,000001998,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000082,000000000500,20160624,000000000001579,000000000000789980000,12,,0,,N,,000000173,000000007,000000004,00004,000000015,20241231,000000031,N,N,N
250030,KR7250030004,진코스텍,ST,000015860,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000855,000000000500,20191129,000000000002589,000000000001294668500,12,,0,,N,,000000298,000000011,000000000,00000,-00000002,20241231,000000410,N,N,N
251280,KR7251280004,안지오랩,ST,000002400,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000001087,000000000500,20161025,000000000003491,000000000001745935000,12,,0,,N,,000000020,-00000008,-00000008,-0008,-00000050,20241231,000000083,N,N,N
253610,KR7253610000,루트락,ST,000001020,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000001001,000000000500,20201224,000000000010185,000000000005092705000,12,,0,,N,,000000100,-00000015,-00000023,-0022,-36100000,20241231,000000103,N,N,N
254160,KR7254160005,제이엠멀티,ST,000003200,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000045,000000000500,20211213,000000000005160,000000000002580000000,12,,0,,N,,000000273,000000012,000000004,00001,000000000,20241231,000000165,N,N,N
257990,KR7257990002,나우코스,ST,000008250,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000008909,000000000500,20201230,000000000005891,000000000002945696000,12,,0,,N,,000000620,000000013,-00000005,-0004,000000000,20241231,000000486,N,N,N
258050,KR7258050004,테크트랜스,ST,000000396,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000002693,000000000100,20180713,000000000011145,000000000001114594900,12,,0,,N,,000000007,-00000006,-00000006,-0006,-00000080,20241231,000000044,N,N,N
260870,KR7260870001,SK시그넷,ST,000011990,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000005825,000000000500,20170830,000000000021674,000000000010837373500,12,,0,,N,,000000838,-00002428,-00002481,-2441,000000000,20241231,000002598,N,N,N
266170,KR7266170000,레드우즈,ST,000001800,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000001,000000000500,20170609,000000000000733,000000000000366913000,12,,0,,N,,000000000,-00000028,-00000050,-0050,000000000,20241231,000000013,N,N,N
266350,KR7266350008,팡스카이,ST,000000398,00001,00001,Y,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000500,20240628,000000000012629,000000000006314785000,12,,0,,N,,000000088,-00000062,-00000117,-0117,000000000,20241231,000000050,N,N,N
266470,KR7266470004,바이오인프라생명과학,ST,000000200,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000009591,000000000500,20200722,000000000027866,000000000013933009500,12,,0,,N,,000000002,-00000020,-00000031,-0031,-00000360,20241231,000000055,N,N,N
